name,base_health_point,base_attack,base_defence,base_speed,element_type,image_url
wurmple,45,45,35,20,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/265.png
silcoon,50,35,55,15,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/266.png
beautifly,60,70,50,65,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/267.png
cascoon,50,35,55,15,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/268.png
dustox,60,50,70,65,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/269.png
lotad,40,30,30,30,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/270.png
lombre,60,50,50,50,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/271.png
ludicolo,80,70,70,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/272.png
seedot,40,40,50,30,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/273.png
nuzleaf,70,70,40,60,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/274.png
shiftry,90,100,60,80,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/275.png
taillow,40,55,30,85,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/276.png
swellow,60,85,60,125,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/277.png
wingull,40,30,30,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/278.png
pelipper,60,50,100,65,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/279.png
ralts,28,25,25,40,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/280.png
kirlia,38,35,35,50,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/281.png
gardevoir,68,65,65,80,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/282.png
gardevoir-mega,68,85,65,100,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/282_f2.png
surskit,40,30,32,65,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/283.png
masquerain,70,60,62,60,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/284.png
shroomish,60,40,60,35,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/285.png
breloom,60,130,80,70,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/286.png
slakoth,60,60,60,30,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/287.png
vigoroth,80,80,80,90,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/288.png
slaking,150,160,100,100,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/289.png
nincada,31,45,90,40,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/290.png
ninjask,61,90,45,160,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/291.png
shedinja,1,90,45,40,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/292.png
whismur,64,51,23,28,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/293.png
loudred,84,71,43,48,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/294.png
exploud,104,91,63,68,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/295.png
makuhita,72,60,30,25,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/296.png
hariyama,144,120,60,50,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/297.png
azurill,50,20,40,20,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/298.png
nosepass,30,45,135,30,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/299.png
skitty,50,45,45,50,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/300.png
delcatty,70,65,65,70,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/301.png
sableye,50,75,75,50,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png
sableye-mega,50,85,125,20,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/302_f2.png
mawile,50,85,85,50,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png
mawile-mega,50,105,125,50,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/303_f2.png
aron,50,70,100,30,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/304.png
lairon,60,90,140,40,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/305.png
aggron,70,110,180,50,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/306.png
aggron-mega,70,140,230,50,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/306_f2.png
meditite,30,40,55,60,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/307.png
medicham,60,60,75,80,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/308.png
medicham-mega,60,100,85,100,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/308_f2.png
electrike,40,45,40,65,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/309.png
manectric,70,75,60,105,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/310.png
manectric-mega,70,75,80,135,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/310_f2.png
plusle,60,50,40,95,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/311.png
minun,60,40,50,95,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/312.png
volbeat,65,73,55,85,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/313.png
illumise,65,47,55,85,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/314.png
roselia,50,60,45,65,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/315.png
gulpin,70,43,53,40,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/316.png
swalot,100,73,83,55,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/317.png
carvanha,45,90,20,65,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/318.png
sharpedo,70,120,40,95,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/319.png
sharpedo-mega,70,140,70,105,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/319_f2.png
wailmer,130,70,35,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/320.png
wailord,170,90,45,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/321.png
numel,60,60,40,35,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/322.png
camerupt,70,100,70,40,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/323.png
camerupt-mega,70,120,100,20,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/323_f2.png
torkoal,70,85,140,20,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/324.png
spoink,60,25,35,60,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/325.png
grumpig,80,45,65,80,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/326.png
spinda,60,60,60,60,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/327.png
trapinch,45,100,45,10,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/328.png
vibrava,50,70,50,70,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/329.png
flygon,80,100,80,100,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/330.png
cacnea,50,85,40,35,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/331.png
cacturne,70,115,60,55,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/332.png
swablu,45,40,60,50,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/333.png
altaria,75,70,90,80,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/334.png
altaria-mega,75,110,110,80,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/334_f2.png
zangoose,73,115,60,90,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/335.png
seviper,73,100,60,65,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/336.png
lunatone,70,55,65,70,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/337.png
solrock,70,95,85,70,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/338.png
barboach,50,48,43,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/339.png
whiscash,110,78,73,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/340.png
corphish,43,80,65,35,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/341.png
crawdaunt,63,120,85,55,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/342.png
baltoy,40,40,55,55,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/343.png
claydol,60,70,105,75,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/344.png
lileep,66,41,77,23,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/345.png
cradily,86,81,97,43,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/346.png
anorith,45,95,50,75,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/347.png
armaldo,75,125,100,45,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/348.png
feebas,20,15,20,80,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/349.png
milotic,95,60,79,81,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/350.png
castform,70,70,70,70,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/351.png
castform-sunny,70,70,70,70,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/351_f2.png
castform-rainy,70,70,70,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/351_f3.png
castform-snowy,70,70,70,70,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/351_f4.png
kecleon,60,90,70,40,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/352.png
shuppet,44,75,35,45,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/353.png
banette,64,115,65,65,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/354.png
banette-mega,64,165,75,75,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/354_f2.png
duskull,20,40,90,25,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/355.png
dusclops,40,70,130,25,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/356.png
tropius,99,68,83,51,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/357.png
chimecho,65,50,70,65,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/358.png
absol,65,130,60,75,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/359.png
absol-mega,65,150,60,115,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/359_f2.png
wynaut,95,23,48,23,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/360.png
snorunt,50,50,50,50,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/361.png
glalie,80,80,80,80,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/362.png
glalie-mega,80,120,80,100,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/362_f2.png
spheal,70,40,50,25,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/363.png
sealeo,90,60,70,45,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/364.png
walrein,110,80,90,65,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/365.png
clamperl,35,64,85,32,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/366.png
huntail,55,104,105,52,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/367.png
gorebyss,55,84,105,52,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/368.png
relicanth,100,90,130,55,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/369.png
luvdisc,43,30,55,97,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/370.png
bagon,45,75,60,50,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/371.png
shelgon,65,95,100,50,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/372.png
salamence,95,135,80,100,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/373.png
salamence-mega,95,145,130,120,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/373_f2.png
beldum,40,55,80,30,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/374.png
metang,60,75,100,50,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/375.png
metagross,80,135,130,70,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/376.png
metagross-mega,80,145,150,110,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/376_f2.png
regirock,80,100,200,50,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/377.png
regice,80,50,100,50,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/378.png
registeel,80,75,150,50,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/379.png
latias,80,80,90,110,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/380.png
latias-mega,80,100,120,110,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/380_f2.png
latios,80,90,80,110,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/381.png
latios-mega,80,130,100,110,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/381_f2.png
kyogre,100,100,90,90,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/382.png
kyogre-primal,100,150,90,90,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/382_f2.png
groudon,100,150,140,90,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/383.png
groudon-primal,100,180,160,90,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/383_f2.png
rayquaza,105,150,90,95,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/384.png
rayquaza-mega,105,180,100,115,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/384_f2.png
jirachi,100,100,100,100,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/385.png
deoxys-normal,50,150,50,150,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386.png
deoxys-attack,50,180,20,150,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386_f2.png
deoxys-defense,50,70,160,90,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386_f3.png
deoxys-speed,50,95,90,180,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/386_f4.png
turtwig,55,68,64,31,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/387.png
grotle,75,89,85,36,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/388.png
torterra,95,109,105,56,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/389.png
chimchar,44,58,44,61,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/390.png
monferno,64,78,52,81,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/391.png
infernape,76,104,71,108,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/392.png
piplup,53,51,53,40,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/393.png
prinplup,64,66,68,50,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/394.png
empoleon,84,86,88,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/395.png
starly,40,55,30,60,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/396.png
staravia,55,75,50,80,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/397.png
staraptor,85,120,70,100,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/398.png
bidoof,59,45,40,31,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/399.png
bibarel,79,85,60,71,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/400.png
kricketot,37,25,41,25,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/401.png
kricketune,77,85,51,65,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/402.png
shinx,45,65,34,45,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/403.png
luxio,60,85,49,60,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/404.png
luxray,80,120,79,70,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/405.png
budew,40,30,35,55,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/406.png
roserade,60,70,65,90,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/407.png
cranidos,67,125,40,58,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/408.png
rampardos,97,165,60,58,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/409.png
shieldon,30,42,118,30,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/410.png
bastiodon,60,52,168,30,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/411.png
burmy,40,29,45,36,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/412.png
wormadam-plant,60,59,85,36,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/413.png
wormadam-sandy,60,79,105,36,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/413_f2.png
wormadam-trash,60,69,95,36,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/413_f3.png
mothim,70,94,50,66,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/414.png
combee,30,30,42,70,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/415.png
vespiquen,70,80,102,40,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/416.png
pachirisu,60,45,70,95,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/417.png
buizel,55,65,35,85,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/418.png
floatzel,85,105,55,115,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/419.png
cherubi,45,35,45,35,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/420.png
cherrim,70,60,70,85,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/421.png
shellos,76,48,48,34,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/422.png
gastrodon,111,83,68,39,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/423.png
ambipom,75,100,66,115,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/424.png
drifloon,90,50,34,70,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/425.png
drifblim,150,80,44,80,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/426.png
buneary,55,66,44,85,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/427.png
lopunny,65,76,84,105,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/428.png
lopunny-mega,65,136,94,135,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/428_f2.png
mismagius,60,60,60,105,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/429.png
honchkrow,100,125,52,71,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/430.png
glameow,49,55,42,85,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/431.png
purugly,71,82,64,112,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/432.png
chingling,45,30,50,45,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/433.png
stunky,63,63,47,74,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/434.png
skuntank,103,93,67,84,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/435.png
bronzor,57,24,86,23,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/436.png
bronzong,67,89,116,33,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/437.png
bonsly,50,80,95,10,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/438.png
mime-jr,20,25,45,60,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/439.png
happiny,100,5,5,30,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/440.png
chatot,76,65,45,91,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/441.png
spiritomb,50,92,108,35,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/442.png
gible,58,70,45,42,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/443.png
gabite,68,90,65,82,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/444.png
garchomp,108,130,95,102,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/445.png
garchomp-mega,108,170,115,92,dragon,http://assets.pokemon.com/assets/cms2/img/pokedex/full/445_f2.png
munchlax,135,85,40,5,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/446.png
riolu,40,70,40,60,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/447.png
lucario,70,110,70,90,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/448.png
lucario-mega,70,145,88,112,fighting,http://assets.pokemon.com/assets/cms2/img/pokedex/full/448_f2.png
hippopotas,68,72,78,32,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/449.png
hippowdon,108,112,118,47,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/450.png
skorupi,40,50,90,65,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/451.png
drapion,70,90,110,95,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/452.png
croagunk,48,61,40,50,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/453.png
toxicroak,83,106,65,85,poison,http://assets.pokemon.com/assets/cms2/img/pokedex/full/454.png
carnivine,74,100,72,46,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/455.png
finneon,49,49,56,66,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/456.png
lumineon,69,69,76,91,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/457.png
mantyke,45,20,50,50,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/458.png
snover,60,62,50,40,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/459.png
abomasnow,90,92,75,60,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/460.png
abomasnow-mega,90,132,105,30,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/460_f2.png
weavile,70,120,65,125,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/461.png
magnezone,70,70,115,60,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/462.png
lickilicky,110,85,95,50,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/463.png
rhyperior,115,140,130,40,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/464.png
tangrowth,100,100,125,50,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/465.png
electivire,75,123,67,95,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/466.png
magmortar,75,95,67,83,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/467.png
togekiss,85,50,95,80,fairy,http://assets.pokemon.com/assets/cms2/img/pokedex/full/468.png
yanmega,86,76,86,95,bug,http://assets.pokemon.com/assets/cms2/img/pokedex/full/469.png
leafeon,65,110,130,95,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/470.png
glaceon,65,60,110,65,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/471.png
gliscor,75,95,125,95,ground,http://assets.pokemon.com/assets/cms2/img/pokedex/full/472.png
mamoswine,110,130,80,80,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/473.png
porygon-z,85,80,70,90,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/474.png
gallade,68,125,65,80,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/475.png
gallade-mega,68,165,95,110,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/475_f2.png
probopass,60,55,145,40,rock,http://assets.pokemon.com/assets/cms2/img/pokedex/full/476.png
dusknoir,45,100,135,45,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/477.png
froslass,70,80,70,110,ice,http://assets.pokemon.com/assets/cms2/img/pokedex/full/478.png
rotom,50,50,77,91,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/479.png
rotom-heat,50,65,107,86,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/479_f2.png
rotom-wash,50,65,107,86,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/479_f3.png
rotom-frost,50,65,107,86,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/479_f4.png
rotom-fan,50,65,107,86,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/479_f5.png
rotom-mow,50,65,107,86,electric,http://assets.pokemon.com/assets/cms2/img/pokedex/full/479_f6.png
uxie,75,75,130,95,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/480.png
mesprit,80,105,105,80,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/481.png
azelf,75,125,70,115,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/482.png
dialga,100,120,120,90,steel,http://assets.pokemon.com/assets/cms2/img/pokedex/full/483.png
palkia,90,120,100,100,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/484.png
heatran,91,90,106,77,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/485.png
regigigas,110,160,110,100,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/486.png
giratina-altered,150,100,120,90,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/487.png
giratina-origin,150,120,100,90,ghost,http://assets.pokemon.com/assets/cms2/img/pokedex/full/487_f2.png
cresselia,120,70,120,85,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/488.png
phione,80,80,80,80,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/489.png
manaphy,100,100,100,100,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/490.png
darkrai,70,90,90,125,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/491.png
shaymin-land,100,100,100,100,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/492.png
shaymin-sky,100,103,75,127,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/492_f2.png
arceus,120,120,120,120,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/493.png
victini,100,100,100,100,psychic,http://assets.pokemon.com/assets/cms2/img/pokedex/full/494.png
snivy,45,45,55,63,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/495.png
servine,60,60,75,83,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/496.png
serperior,75,75,95,113,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/497.png
tepig,65,63,45,45,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/498.png
pignite,90,93,55,55,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/499.png
emboar,110,123,65,65,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/500.png
oshawott,55,55,45,45,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/501.png
dewott,75,75,60,60,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/502.png
samurott,95,100,85,70,water,http://assets.pokemon.com/assets/cms2/img/pokedex/full/503.png
patrat,45,55,39,42,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/504.png
watchog,60,85,69,77,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/505.png
lillipup,45,60,45,55,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/506.png
herdier,65,80,65,60,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/507.png
stoutland,85,110,90,80,normal,http://assets.pokemon.com/assets/cms2/img/pokedex/full/508.png
purrloin,41,50,37,66,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/509.png
liepard,64,88,50,106,dark,http://assets.pokemon.com/assets/cms2/img/pokedex/full/510.png
pansage,50,53,48,64,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/511.png
simisage,75,98,63,101,grass,http://assets.pokemon.com/assets/cms2/img/pokedex/full/512.png
pansear,50,53,48,64,fire,http://assets.pokemon.com/assets/cms2/img/pokedex/full/513.png
